[2026-02-21 04:38:13] USER=admin | ACAO=LOGIN_OK |  | IP=45.164.118.25
[2026-02-21 05:31:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:32:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:32:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:33:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:33:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:34:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:34:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:35:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:35:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:36:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:36:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:37:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:37:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:38:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:38:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:39:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:40:30] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:40:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:40:55] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:40:57] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:41:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:41:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:41:39] USER=admin | ACAO=LISTAR_INSTANCIAS | total=0 | IP=45.164.118.25
[2026-02-21 05:42:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:42:06] USER=admin | ACAO=WEBHOOK_GET | token=54d02b4a | IP=45.164.118.25
[2026-02-21 05:42:14] USER=admin | ACAO=WEBHOOK_GET | token=ac135d27 | IP=45.164.118.25
[2026-02-21 05:42:22] USER=admin | ACAO=WEBHOOK_GET | token=bc9279e0 | IP=45.164.118.25
[2026-02-21 05:42:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:43:00] USER=admin | ACAO=WEBHOOK_GET | token=6e74e774 | IP=45.164.118.25
[2026-02-21 05:43:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:43:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:43:34] USER=admin | ACAO=WEBHOOK_SET | token=6e74e774 enabled=1 events=messages,labels,chat_labels | IP=45.164.118.25
[2026-02-21 05:44:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:44:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:45:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:45:29] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:45:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:45:38] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:45:57] USER=admin | ACAO=WEBHOOK_SET | token=00654d68 enabled=1 events=messages,chat_labels,labels | IP=45.164.118.25
[2026-02-21 05:46:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:46:30] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:46:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:46:43] USER=admin | ACAO=WEBHOOK_SET | token=00654d68 enabled=1 events=messages,chat_labels,labels | IP=45.164.118.25
[2026-02-21 05:46:48] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:47:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:47:02] USER=admin | ACAO=WEBHOOK_GET | token=de642720 | IP=45.164.118.25
[2026-02-21 05:47:08] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:47:12] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:47:16] USER=admin | ACAO=WEBHOOK_GET | token=eb16d162 | IP=45.164.118.25
[2026-02-21 05:47:23] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:47:32] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:48:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:48:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:49:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:49:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:50:01] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:50:23] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:50:37] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:51:07] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:51:38] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:51:43] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:51:58] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:54:11] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:54:39] USER=admin | ACAO=RECONECTAR | qr=ok | IP=45.164.118.25
[2026-02-21 05:54:41] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:55:11] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:55:30] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:55:31] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:55:41] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:56:11] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:56:41] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:56:52] USER=admin | ACAO=USUARIO_EDITAR | user=admin | IP=45.164.118.25
[2026-02-21 05:57:03] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:57:04] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:57:10] USER=admin | ACAO=USUARIO_EDITAR | user=admin | IP=45.164.118.25
[2026-02-21 05:57:11] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:57:42] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:58:02] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=54d02b4a | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=c71b93af | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=587856e0 | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=b391e13f | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=6e74e774 | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=d041cfae | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=05ca6742 | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=c80cbad3 | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=5833d4e8 | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=47952e2f | IP=45.164.118.25
[2026-02-21 05:58:03] USER=admin | ACAO=WEBHOOK_GET | token=90831841 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=ac135d27 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=179f82a3 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=24961fb5 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=b85e5d78 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=eb212b08 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=a92dcc47 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=5490cbbe | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=cdb821e6 | IP=45.164.118.25
[2026-02-21 05:58:04] USER=admin | ACAO=WEBHOOK_GET | token=ce20e50a | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=be441ee2 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=342f573d | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=ce7478f1 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=eb5cf720 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=c0bf4d99 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=bc9279e0 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=c2cdedf3 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=de84e48c | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=eb16d162 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=de642720 | IP=45.164.118.25
[2026-02-21 05:58:05] USER=admin | ACAO=WEBHOOK_GET | token=2879c2cb | IP=45.164.118.25
[2026-02-21 05:58:20] USER=admin | ACAO=WEBHOOK_GET | token=a92dcc47 | IP=45.164.118.25
[2026-02-21 05:58:48] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:59:15] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 05:59:15] USER=admin | ACAO=WEBHOOK_GET | token=54d02b4a | IP=45.164.118.25
[2026-02-21 05:59:15] USER=admin | ACAO=WEBHOOK_GET | token=b391e13f | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=c71b93af | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=587856e0 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=6e74e774 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=d041cfae | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=05ca6742 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=5833d4e8 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=c80cbad3 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=47952e2f | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=90831841 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=ac135d27 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=b85e5d78 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=179f82a3 | IP=45.164.118.25
[2026-02-21 05:59:16] USER=admin | ACAO=WEBHOOK_GET | token=24961fb5 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=eb212b08 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=5490cbbe | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=cdb821e6 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=a92dcc47 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=ce20e50a | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=be441ee2 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=342f573d | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=ce7478f1 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=c2cdedf3 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=de84e48c | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=eb16d162 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=eb5cf720 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=c0bf4d99 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=bc9279e0 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=de642720 | IP=45.164.118.25
[2026-02-21 05:59:17] USER=admin | ACAO=WEBHOOK_GET | token=2879c2cb | IP=45.164.118.25
[2026-02-21 06:00:05] USER=admin | ACAO=LISTAR_INSTANCIAS | total=32 | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=54d02b4a | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=b391e13f | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=6e74e774 | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=587856e0 | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=c71b93af | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=ac135d27 | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=d041cfae | IP=45.164.118.25
[2026-02-21 06:00:06] USER=admin | ACAO=WEBHOOK_GET | token=05ca6742 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=c80cbad3 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=5833d4e8 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=47952e2f | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=90831841 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=179f82a3 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=b85e5d78 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=a92dcc47 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=5490cbbe | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=cdb821e6 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=ce20e50a | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=be441ee2 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=24961fb5 | IP=45.164.118.25
[2026-02-21 06:00:07] USER=admin | ACAO=WEBHOOK_GET | token=342f573d | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=ce7478f1 | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=eb5cf720 | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=c0bf4d99 | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=bc9279e0 | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=c2cdedf3 | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=de84e48c | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=eb16d162 | IP=45.164.118.25
[2026-02-21 06:00:08] USER=admin | ACAO=WEBHOOK_GET | token=00654d68 | IP=45.164.118.25
